,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,rantepao,-2.9701,119.8978,67.84,94,68,1.39,ID,1619305596
153,trujillo,-8.116,-79.03,64.4,88,20,11.5,PE,1619305514
154,mwinilunga,-11.7358,24.4293,61.14,89,93,2.26,ZM,1619305596
155,san angelo,31.4638,-100.437,84.2,14,1,8.05,US,1619305299
156,hasaki,35.7333,140.8333,61.0,77,75,5.75,JP,1619305597
157,weinfelden,47.5667,9.1,50.0,46,50,3.44,CH,1619305597
158,saint-joseph,-21.3667,55.6167,77.0,78,90,23.02,RE,1619305597
159,sheboygan,43.7333,-87.9334,53.6,82,90,3.44,US,1619305598
160,tokur,53.1333,132.9,25.05,53,9,3.98,RU,1619305598
161,caravelas,-17.7125,-39.2481,74.75,84,27,4.79,BR,1619305598
162,grand gaube,-20.0064,57.6608,78.01,82,100,10.0,MU,1619305599
163,inverell,-29.7833,151.1167,57.99,73,0,3.15,AU,1619305599
164,krasnoselkup,65.7,82.4667,30.56,95,100,8.79,RU,1619305599
165,beringovskiy,63.05,179.3167,32.0,92,100,4.88,RU,1619305600
166,port alfred,-33.5906,26.891,65.95,86,75,7.18,ZA,1619305600
167,laukaa,58.7372,29.8453,30.49,97,37,4.65,RU,1619305600
168,taltal,-25.4,-70.4833,62.33,81,18,4.9,CL,1619305601
169,pareora,-44.4871,171.2132,57.0,97,80,11.39,NZ,1619305601
170,tahta,26.7693,31.5021,71.6,18,0,4.61,EG,1619305601
171,ketchikan,55.3422,-131.6461,57.81,39,8,5.23,US,1619305602
172,inuvik,68.3499,-133.7218,42.8,45,47,10.36,CA,1619305602
173,honningsvag,70.9821,25.9704,32.94,80,100,20.27,NO,1619305602
174,presidente dutra,-5.29,-44.49,75.22,93,91,0.56,BR,1619305603
175,sorong,-0.8833,131.25,79.79,85,67,6.91,ID,1619305603
176,ternate,0.8,127.4,82.56,76,55,6.08,ID,1619305603
177,ilulissat,69.2167,-51.1,46.4,49,11,19.57,GL,1619305603
178,bamboo,18.3922,-77.2643,80.6,83,20,4.61,JM,1619305604
179,inta,66.0317,60.1659,36.5,80,77,7.36,RU,1619305604
180,bad krozingen,47.9167,7.7,53.6,40,71,9.22,DE,1619305604
181,lagoa,39.05,-27.9833,58.89,84,46,25.84,PT,1619305387
182,figeac,44.75,1.9167,51.8,58,0,5.75,FR,1619305605
183,saldanha,-33.0117,17.9442,59.0,82,96,6.53,ZA,1619305605
184,atlantic city,39.3643,-74.4229,57.2,44,20,9.22,US,1619305544
185,conakry,9.538,-13.6773,80.6,65,0,9.22,GN,1619305606
186,nikolskoye,59.7035,30.7861,37.0,75,20,4.47,RU,1619305606
187,kodiak,57.79,-152.4072,44.6,81,90,9.22,US,1619305549
188,fairbanks,64.8378,-147.7164,60.8,17,1,3.44,US,1619305606
189,puerto del rosario,28.5004,-13.8627,69.8,64,0,8.05,ES,1619305607
190,ancud,-41.8697,-73.8203,57.0,87,90,6.91,CL,1619305607
191,alice springs,-23.7,133.8833,57.2,54,0,1.14,AU,1619305556
192,bambanglipuro,-7.95,110.2833,75.16,84,39,3.2,ID,1619305607
193,flinders,-34.5833,150.8552,61.0,80,0,1.01,AU,1619305608
194,belmonte,-15.8631,-38.8828,78.8,78,20,8.05,BR,1619305608
195,illela,13.7292,5.2975,83.61,46,82,10.51,NG,1619305608
196,roma,43.2128,-75.4557,60.8,36,1,6.91,US,1619305609
197,xichang,27.8964,102.2634,59.38,83,9,1.01,CN,1619305609
198,daru,-9.0763,143.2092,78.46,85,100,4.76,PG,1619305609
199,port macquarie,-31.4333,152.9167,64.0,74,0,1.01,AU,1619305609
200,victoria,22.2855,114.1577,78.01,86,86,1.01,HK,1619305610
201,sao filipe,14.8961,-24.4956,72.21,74,55,9.84,CV,1619305610
202,chimbote,-9.0853,-78.5783,67.05,85,11,9.8,PE,1619305611
203,kichmengskiy gorodok,59.9816,45.7854,43.59,89,99,8.28,RU,1619305611
204,cherskiy,68.75,161.3,19.51,89,95,13.71,RU,1619305611
205,ginir,7.1333,40.7,57.25,90,84,3.62,ET,1619305611
206,arcos de la frontera,36.7508,-5.8106,62.01,82,0,4.61,ES,1619305612
207,ribeira grande,38.5167,-28.7,59.77,73,96,22.59,PT,1619305534
208,awjilah,29.1081,21.2869,62.73,75,0,20.94,LY,1619305612
209,saint-georges,12.0564,-61.7485,82.4,69,20,14.97,GD,1619305613
210,portree,57.4129,-6.1942,43.0,66,85,2.1,GB,1619305613
211,carupano,10.6678,-63.2585,77.76,85,68,14.34,VE,1619305613
212,sao raimundo nonato,-9.0153,-42.6994,78.13,63,50,1.23,BR,1619305614
213,hovd,48.0056,91.6419,23.88,25,30,8.79,MN,1619305579
214,vila,42.0304,-8.1588,55.0,89,100,2.73,PT,1619305614
215,atherton,53.5237,-2.4935,46.99,71,1,1.99,GB,1619305614
216,solnechnogorsk,56.1833,36.9833,35.6,93,90,13.42,RU,1619305615
217,mezen,65.8522,44.24,43.84,74,71,7.29,RU,1619305615
218,honiara,-9.4333,159.95,85.28,69,67,2.57,SB,1619305615
219,wuwei,37.9281,102.6414,47.1,62,100,2.75,CN,1619305616
220,bathsheba,13.2167,-59.5167,78.8,61,40,18.41,BB,1619305616
221,terney,45.0503,136.6092,40.84,45,13,14.58,RU,1619305616
222,yerbogachen,61.2767,108.0108,32.16,91,100,2.26,RU,1619305616
223,vuktyl,63.8567,57.3094,42.84,78,100,9.24,RU,1619305617
224,kalmunai,7.4167,81.8167,77.9,82,24,2.28,LK,1619305617
225,rio grande,-32.035,-52.0986,66.0,93,100,5.68,BR,1619305617
226,brae,60.3964,-1.353,41.0,70,88,6.91,GB,1619305618
227,lata,40.1629,-8.3327,62.01,90,72,3.47,PT,1619305618
228,ozinki,51.1786,49.6769,42.13,83,43,13.04,RU,1619305618
229,kabare,-2.4683,28.8242,61.43,96,99,1.07,CD,1619305619
230,lavrentiya,65.5833,-171.0,32.45,91,88,1.57,RU,1619305619
231,acajutla,13.5928,-89.8275,86.0,54,20,6.91,SV,1619305617
232,veraval,20.9,70.3667,80.44,76,100,15.01,IN,1619305619
233,khromtau,50.2503,58.4347,40.95,90,32,10.13,KZ,1619305620
234,padang,-0.9492,100.3543,73.4,94,20,2.3,ID,1619305574
235,vostok,46.4856,135.8833,31.98,40,16,10.71,RU,1619305620
236,conde,-7.2597,-34.9075,77.0,94,75,3.44,BR,1619305620
237,vao,-22.6667,167.4833,75.69,68,100,12.73,NC,1619305621
238,leningradskiy,69.3833,178.4167,30.0,83,100,4.5,RU,1619305621
239,upernavik,72.7868,-56.1549,28.99,86,10,6.22,GL,1619305621
240,qaqortoq,60.7167,-46.0333,53.6,32,75,28.77,GL,1619305622
241,jacareacanga,-6.2222,-57.7528,79.61,82,100,2.08,BR,1619305392
242,maniitsoq,65.4167,-52.9,37.67,75,42,3.33,GL,1619305622
243,altayskoye,51.9533,85.3325,32.59,84,100,3.13,RU,1619305622
244,mahon,39.8885,4.2658,57.2,94,40,5.75,ES,1619305623
245,kashan,33.9831,51.4364,69.98,47,85,2.91,IR,1619305623
246,abu dhabi,24.4667,54.3667,80.6,47,0,4.61,AE,1619305511
247,at-bashi,41.1702,75.8106,39.22,46,74,0.51,KG,1619305624
248,port blair,11.6667,92.75,81.05,72,9,2.91,IN,1619305624
249,tiznit,29.5833,-9.5,56.8,67,1,2.17,MA,1619305624
250,borovskoy,53.8,64.15,43.68,51,99,10.54,KZ,1619305625
251,nohar,29.1833,74.7667,74.14,21,0,3.91,IN,1619305625
252,atar,20.5169,-13.0499,81.61,13,1,4.92,MR,1619305337
253,samaro,25.2815,69.3965,84.65,36,1,5.26,PK,1619305625
254,hami,42.8,93.45,42.66,33,98,23.02,CN,1619305626
255,mersing,2.4312,103.8405,75.2,94,100,5.75,MY,1619305626
256,kijang,35.2442,129.2139,59.0,77,75,13.8,KR,1619305394
257,shihezi,44.3,86.0333,38.05,34,0,3.36,CN,1619305626
258,geraldton,-28.7667,114.6,57.2,82,49,9.22,AU,1619305627
259,half moon bay,37.4636,-122.4286,63.0,82,90,8.05,US,1619305627
260,okhtyrka,50.3104,34.8988,35.33,75,20,9.75,UA,1619305627
261,tomatlan,19.9333,-105.25,89.13,30,90,9.91,MX,1619305628
262,melilli,37.1796,15.1255,54.0,93,0,2.3,IT,1619305628
263,rockland,41.1668,-74.0496,64.0,37,100,1.01,US,1619305628
264,haines junction,60.7522,-137.5108,53.6,24,39,6.91,CA,1619305629
265,chicama,-7.8447,-79.1469,64.4,88,20,11.5,PE,1619305629
266,coihaique,-45.5752,-72.0662,48.2,87,40,4.79,CL,1619305629
267,cayenne,4.9333,-52.3333,78.8,89,75,5.75,GF,1619305480
268,kununurra,-15.7667,128.7333,71.6,60,31,4.61,AU,1619305595
269,nova varos,43.4606,19.8114,34.0,75,0,2.3,RS,1619305630
270,nenjiang,49.1833,125.2167,43.27,43,2,10.33,CN,1619305630
271,hammerfest,70.6634,23.6821,30.2,64,90,6.91,NO,1619305630
272,jamame,0.0722,42.7506,79.65,78,55,6.2,SO,1619305631
273,soyo,-6.1349,12.3689,78.62,84,87,2.08,AO,1619305456
274,kodinsk,58.6881,99.1844,33.42,99,100,2.13,RU,1619305631
275,kavaratti,10.5669,72.642,83.57,75,24,12.19,IN,1619305632
276,fare,-16.7,-151.0167,79.75,70,100,9.08,PF,1619305632
277,san luis,-33.295,-66.3356,57.81,61,1,11.97,AR,1619305469
